GSE_ID,GSM_ID,GPL,title,MTHFR,TYMS,MTR,MTRR,CYP1A1,GSTM1,GSTT1,GSTP1,TLR2,TLR4,TLR7,TLR9,STAT4
GSE10325,GSM260886,GPL96,healthy CD4 T cells 1,22.099999999999998,97.95,385.7,546.8000000000001,27.8,505.5,13.0,422.7,69.6,23.5,8.4,-1,1215.0
GSE10325,GSM260887,GPL96,healthy CD19 B cells 1,22.866666666666664,121.8,466.5,259.1,14.7,309.4,18.4,490.1,99.3,39.9,352.5,-1,90.5
GSE10325,GSM260888,GPL96,healthy myeloid cells 1,31.03333333333333,69.7,151.8,169.15,75.6,338.35,24.3,1145.1,3040.8,680.1,266.1,-1,152.0
GSE10325,GSM260889,GPL96,healthy CD4 T cells 2,15.766666666666667,64.45,511.1,332.75,16.4,213.2,9.6,318.9,98.8,7.7,5.4,-1,1334.6
GSE10325,GSM260890,GPL96,healthy CD19 B cells 2,18.2,71.25,439.2,177.35,13.8,161.10000000000002,10.9,498.3,167.5,10.0,476.1,-1,172.5
GSE10325,GSM260891,GPL96,healthy CD4 T cells 3,22.7,122.35000000000001,408.1,253.2,10.4,408.45000000000005,24.4,559.6,85.6,73.6,25.1,-1,1230.5
GSE10325,GSM260892,GPL96,healthy CD19 B cells 3,81.0,303.04999999999995,198.7,168.7,52.3,429.3,29.7,742.0,59.5,34.6,273.3,-1,172.4
GSE10325,GSM260893,GPL96,healthy myeloid cells 3,15.199999999999998,57.1,181.6,168.5,10.4,249.15,27.2,1567.9,3108.0,435.8,264.2,-1,116.0
GSE10325,GSM260894,GPL96,healthy CD4 T cells 4,8.533333333333333,66.3,440.0,332.25,27.6,788.7,5.5,324.9,70.8,61.1,25.7,-1,1443.0
GSE10325,GSM260895,GPL96,healthy CD19 B cells 4,32.43333333333334,82.05,460.7,329.20000000000005,16.7,649.2,12.0,369.6,95.4,22.9,191.5,-1,870.4
GSE10325,GSM260896,GPL96,healthy myeloid cells 4,30.766666666666666,72.44999999999999,210.7,185.05,48.8,213.0,13.4,1217.2,2250.9,365.1,274.6,-1,129.6
GSE10325,GSM260897,GPL96,healthy CD4 T cells 5,13.9,173.05,646.1,375.45,12.1,170.95,5.5,198.3,86.8,4.9,10.1,-1,973.2
GSE10325,GSM260898,GPL96,healthy CD19 B cells 5,17.23333333333333,343.85,609.3,217.05,14.8,157.60000000000002,4.0,305.2,105.9,13.5,493.9,-1,114.9
GSE10325,GSM260899,GPL96,healthy myeloid cells 5,49.03333333333333,117.85,599.4,495.9,28.9,337.45,20.1,606.5,4828.4,139.6,1335.7,-1,133.1
GSE10325,GSM260900,GPL96,healthy CD4 T cells 6,29.566666666666666,98.8,802.3,380.8,29.2,232.1,5.3,173.2,63.5,2.9,3.1,-1,1278.0
GSE10325,GSM260901,GPL96,healthy CD19 B cells 6,27.600000000000005,234.7,796.1,217.0,9.4,121.05,4.3,224.9,123.2,6.5,518.1,-1,113.0
GSE10325,GSM260902,GPL96,healthy myeloid cells 6,59.300000000000004,88.85,683.3,521.45,50.6,336.45,12.2,1387.5,4691.7,398.8,898.4,-1,63.3
GSE10325,GSM260903,GPL96,healthy CD4 T cells 7,13.966666666666669,74.19999999999999,942.3,420.8,30.5,265.9,15.9,213.9,89.2,11.2,15.6,-1,1651.8
GSE10325,GSM260904,GPL96,healthy CD19 B cells 7,13.299999999999999,155.45,514.9,255.95,17.8,191.05,17.3,429.8,79.2,66.9,489.0,-1,132.4
GSE10325,GSM260905,GPL96,healthy myeloid cells 7,32.13333333333333,52.3,299.2,215.25,19.7,156.2,11.4,799.9,2113.1,626.2,458.2,-1,120.7
GSE10325,GSM260906,GPL96,healthy CD4 T cells 8,23.900000000000002,156.6,997.6,434.2,13.6,173.8,48.2,343.7,61.2,11.3,22.0,-1,1176.4
GSE10325,GSM260907,GPL96,healthy CD19 B cells 8,29.933333333333334,173.5,636.7,338.54999999999995,30.8,130.0,55.9,462.9,98.5,25.0,651.3,-1,111.3
GSE10325,GSM260908,GPL96,healthy myeloid cells 8,21.2,78.2,265.9,232.2,67.2,115.9,11.2,696.0,2188.9,502.8,623.6,-1,136.8
GSE10325,GSM260909,GPL96,healthy CD4 T cells 9,25.3,69.6,449.8,301.15,35.3,531.9000000000001,102.3,256.5,82.9,35.5,5.1,-1,1298.1
GSE10325,GSM260910,GPL96,healthy CD19 B cells 9,15.6,43.65,315.1,207.6,54.5,342.70000000000005,28.7,380.3,151.8,97.1,381.9,-1,189.8
GSE10325,GSM260911,GPL96,healthy myeloid cells 9,27.96666666666667,76.5,233.2,139.2,48.4,238.3,34.8,1181.7,1358.0,367.0,278.0,-1,190.8
GSE10325,GSM260912,GPL96,healthy myeloid cells 10,14.466666666666667,23.95,192.6,206.15,22.5,243.39999999999998,8.0,1594.1,1904.0,578.4,258.5,-1,88.5
GSE10325,GSM260913,GPL96,healthy myeloid cells 11,38.2,354.3,348.5,253.35,63.4,327.7,7.2,376.0,106.3,79.3,349.7,-1,103.6
GSE10325,GSM260914,GPL96,SLE CD4 T cells 1,11.366666666666667,63.4,265.1,323.3,57.6,288.15,21.6,200.9,114.4,29.2,10.5,-1,1251.6
GSE10325,GSM260915,GPL96,SLE CD19 B cells 1,29.933333333333334,80.1,237.5,214.85000000000002,6.9,177.14999999999998,24.7,580.5,211.1,39.2,484.5,-1,194.1
GSE10325,GSM260916,GPL96,SLE CD4 T cells 2,16.766666666666666,158.0,461.5,476.25,82.0,347.15,16.2,380.5,172.5,48.5,17.3,-1,1414.0
GSE10325,GSM260917,GPL96,SLE CD19 B cells 2,17.866666666666667,441.3,377.2,363.29999999999995,22.0,179.95,7.4,535.1,146.1,43.1,426.7,-1,144.5
GSE10325,GSM260918,GPL96,SLE myeloid cells 2,14.833333333333334,39.1,178.0,211.25,3.5,111.05000000000001,7.7,1647.9,3742.9,507.8,657.3,-1,97.9
GSE10325,GSM260919,GPL96,SLE CD4 T cells 3,19.5,196.6,480.4,344.95,36.6,378.6,42.2,216.5,75.1,34.5,323.5,-1,1068.9
GSE10325,GSM260920,GPL96,SLE CD19 B cells 3,16.633333333333336,240.75,476.6,325.95,50.9,244.85000000000002,23.1,346.1,130.5,86.7,1527.3,-1,167.6
GSE10325,GSM260921,GPL96,SLE myeloid cells 3,15.633333333333333,86.1,166.9,135.35000000000002,19.5,238.55,59.6,1099.2,2392.9,345.9,1009.0,-1,156.4
GSE10325,GSM260922,GPL96,SLE CD4 T cells 4,12.466666666666667,74.95,417.0,304.0,70.5,403.25,6.8,285.0,21.9,61.2,6.9,-1,808.1
GSE10325,GSM260923,GPL96,SLE CD19 B cells 4,20.166666666666668,27.35,372.9,180.39999999999998,20.6,265.5,140.1,896.5,106.9,26.4,48.0,-1,648.6
GSE10325,GSM260924,GPL96,SLE myeloid cells 4,14.433333333333332,76.15,121.5,102.65,79.4,171.7,86.5,447.0,3222.3,274.9,40.1,-1,289.3
GSE10325,GSM260925,GPL96,SLE CD4 T cells 5,28.266666666666666,44.85,485.6,554.7,42.2,310.5,8.6,334.2,33.5,22.8,4.5,-1,1261.6
GSE10325,GSM260926,GPL96,SLE CD19 B cells 5,23.7,126.55000000000001,533.0,384.25,47.5,206.4,14.4,469.8,206.1,90.9,736.6,-1,152.7
GSE10325,GSM260927,GPL96,SLE CD4 T cells 6,7.133333333333333,138.65,512.1,360.6,22.0,484.70000000000005,12.7,319.7,76.7,27.6,3.5,-1,1251.2
GSE10325,GSM260928,GPL96,SLE CD19 B cells 6,11.700000000000001,213.85,488.4,263.35,36.0,317.4,11.1,496.7,87.3,43.8,95.3,-1,1542.1
